figure_id,inserted_in_pptx,source_pdf_page,update_mode,verification_status,data_file,expected_data_sha256,current_data_sha256,baseline_text_2024,updated_text,notes
B.1,True,21,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_1_datos_usados.csv,39eec44bcf50d134c4c1ea52562864984011fb0ffca31ae260f6fee84a00f9f5,,"De acuerdo con datos de la ENDUTIH 2023, en México había 38.6 millones de hogares, de los cuales el 21% contaba con los servicios fijos de telefonía, televisión restringida y acceso a Internet; 34% contaba con dos de estos servicios; 25% contaba con solo un servicio; y el 20% restante no contaba con servicios fijos de telecomunicaciones.","De acuerdo con datos de la ENDUTIH 2025, en México había 39.7 millones de hogares, de los cuales el 15% contaba con los servicios fijos de telefonía, televisión restringida y acceso a Internet; 30% contaba con dos de estos servicios; 34% contaba con solo un servicio; y el 20% restante no contaba con servicios fijos de telecomunicaciones.",
B.2,True,22,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_2_datos_usados.csv,40ac2e0dbcd328c148f281707acca58965c864d4e2d3d84bcdd13649a65bd635,,"En cuanto a las zonas rurales, en 2023, del total de los 8.2 millones de hogares que había en estas zonas, solo 4% contaba con los tres servicios fijos de telecomunicaciones; 17% contaba con dos servicios; 38% contaba solo con un servicio; y el 40% de los hogares restantes no disponían de servicios fijos de telecomunicaciones.","En cuanto a las zonas rurales, en 2025, del total de los 8.1 millones de hogares que había en estas zonas, solo 3% contaba con los tres servicios fijos de telecomunicaciones; 14% contaba con dos servicios; 45% contaba solo con un servicio; y el 39% de los hogares restantes no disponían de servicios fijos de telecomunicaciones.",
B.3,True,23,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_3_datos_usados.csv,c2e24ca43cde5f817aa7100ddd20afed13049617b606e98b35b94515b67400ae,,"Lo anterior contrasta con los porcentajes de disponibilidad de los servicios fijos de telecomunicaciones en los hogares de las zonas urbanas. De los 30.4 millones de hogares que había en estas zonas, el 26% contaba con los tres servicios fijos de telecomunicaciones; 38% contaba con dos servicios; 22% contaba solo con un servicio; y el 14% de los hogares restantes no disponían de servicios fijos de telecomunicaciones.","Lo anterior contrasta con los porcentajes de disponibilidad de los servicios fijos de telecomunicaciones en los hogares de las zonas urbanas. De los 31.6 millones de hogares que había en estas zonas, el 19% contaba con los tres servicios fijos de telecomunicaciones; 35% contaba con dos servicios; 31% contaba solo con un servicio; y el 15% de los hogares restantes no disponían de servicios fijos de telecomunicaciones.",
B.4,True,24,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_4_datos_usados.csv,a5738bd65b0008cda335608c74fb765799e72f6cc526cf85eacdbe2af56e0ca8,,"Con base en la información reportada por los operadores de telecomunicaciones al IFT, el número de líneas del servicio fijo de telefonía pasó de 26.5 millones en diciembre de 2022 a 28.8 millones en diciembre de 2023. Lo anterior representó una tasa de crecimiento anual del 8.6%, lo que equivale a un aumento de un poco más de 2.3 millones de líneas en un año.","Con base en la información reportada por los operadores de telecomunicaciones al IFT, el número de líneas del servicio fijo de telefonía pasó de 28.8 millones en diciembre de 2023 a 31.4 millones en diciembre de 2024. Lo anterior representó una tasa de crecimiento anual del 8.9%, lo que equivale a un aumento de un poco más de 2.6 millones de líneas en un año.",
B.5,True,25,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_5_datos_usados.csv,eb712354116bfbd0e1d855c8ddb4a87b93b29f6143f91d50086bba1bd9ae4d22,,"Por otro lado, al obtener el número de líneas del servicio fijo de telefonía por cada 100 hogares a nivel nacional, se observa que en 2023 llegó a 75 líneas por cada 100 hogares, con lo cual se mantiene una tendencia al alza desde el año 2021.","Por otro lado, al obtener el número de líneas del servicio fijo de telefonía por cada 100 hogares a nivel nacional, se observa que en 2024 llegó a 80 líneas por cada 100 hogares, con lo cual se mantiene una tendencia al alza desde el año 2021.",
B.6,True,26,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_6_datos_usados.csv,9e5eff63d51145bbafee9584c79349dd7cda48190a3ba6ed877290f77c38563f,,"En cuanto al segmento residencial del servicio fijo de telefonía, a finales de 2023 se estiman 53 líneas por cada 100 hogares a nivel nacional, siendo la Ciudad de México la entidad federativa con la mayor cantidad de líneas por cada 100 hogares con 86, seguida de Nuevo León con 77 y Baja California con 74. En contraste, las entidades con la menor cantidad de líneas residenciales por cada 100 hogares fueron Tabasco, Michoacán, Oaxaca y Chiapas con 26, 25, 22 y 19, respectivamente.","En cuanto al segmento residencial del servicio fijo de telefonía, a finales de 2024 se estiman 56 líneas por cada 100 hogares a nivel nacional, siendo la Ciudad de México la entidad federativa con la mayor cantidad de líneas por cada 100 hogares con 87, seguida de Nuevo León con 79 y Baja California con 79. En contraste, las entidades con la menor cantidad de líneas residenciales por cada 100 hogares fueron Hidalgo, Tabasco, Oaxaca y Chiapas con 34, 25, 22 y 20, respectivamente.",Se actualizaron también las entidades que ocupan los extremos del ranking.
B.7,True,27,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_7_datos_usados.csv,9f53f8a45a92b9941ba784ec998c643887fe696a283d7d68ef9ac9a517ba98b9,,"En el segmento no residencial de este servicio, al cierre de 2023, se estiman 128 líneas por cada 100 unidades económicas a nivel nacional, siendo la Ciudad de México, Nuevo León y Querétaro las entidades federativas con la mayor cantidad de líneas por cada 100 unidades económicas con 456, 335 y 151, respectivamente. En contraste, las entidades federativas con la menor cantidad de líneas por cada 100 unidades económicas fueron Oaxaca, Guerrero y Michoacán de Ocampo con 27, 31 y 33, respectivamente.","En el segmento no residencial de este servicio, al cierre de 2024, se estiman 160 líneas por cada 100 unidades económicas a nivel nacional, siendo la Ciudad de México, Nuevo León y Querétaro las entidades federativas con la mayor cantidad de líneas por cada 100 unidades económicas con 630, 516 y 166, respectivamente. En contraste, las entidades federativas con la menor cantidad de líneas por cada 100 unidades económicas fueron Oaxaca, Guerrero y Chiapas con 28, 35 y 35, respectivamente.",Se actualizaron también las entidades que ocupan los extremos del ranking.
B.8,True,28,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_8_datos_usados.csv,41999c1a102d2448c81cc3af181b0548f26e3599dcdb07077bb01bac495e217a,,"Adicionalmente, con base en la información proporcionada por los operadores al IFT, en 2023, el número de minutos de tráfico local del servicio fijo de telefonía fue de 13,933 millones, lo que representó una disminución del 20.2% con respecto al tráfico local presentado en el 2022.","Adicionalmente, con base en la información proporcionada por los operadores al IFT, en 2024, el número de minutos de tráfico local del servicio fijo de telefonía fue de 938 millones, lo que representó una disminución del 5.2% con respecto al tráfico local presentado en el 2023.",
B.9,True,29,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_9_datos_usados.csv,5c9947ab861f350c7d9c197c33b5f5983dbb60b523591536f5c7183d21d3cfa7,,"En cuanto al consumo de este servicio, se observó que, en el cuarto trimestre de 2023, los minutos de uso por línea (MOU, por sus siglas en inglés) fueron, en promedio, 32 minutos mensuales.

En cuanto a la participación de mercado del servicio fijo de telefonía, se observa que el agente económico preponderante perdió cerca de 35 puntos porcentuales en su participación de 2013 a 2023, incluso registrando en este último año una participación de mercado menor al 40%, lo cual refleja una mayor competencia en este servicio con el paso de los años.","En cuanto al consumo de este servicio, se observó que, en el cuarto trimestre de 2023, los minutos de uso por línea (MOU, por sus siglas en inglés) fueron, en promedio, 32 minutos mensuales.

Con respecto de la participación de mercado del servicio fijo de telefonía, se observa que el agente económico preponderante perdió cerca de 38 puntos porcentuales en su participación de 2013 a 2024, incluso registrando en este último año una participación de mercado menor al 40%, lo cual refleja una mayor competencia en este servicio con el paso de los años.",El párrafo de MOU/SMS se conserva del Anuario 2024 porque esos registros no forman parte del conjunto de datos de la Figura B.9 actual; el párrafo de participación sí se actualizó con la figura actual.
B.10,True,30,baseline_unchanged,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_10_datos_usados.csv,ee6e8f9707b4c3da18c1b1a25369d467cd4f7bd39d9e3de9448e0a8f4e192703,,"Complementario a lo anterior, se observa que el Índice de Herfindahl-Hirschman (IHH) para este servicio ha disminuido de manera constante desde el 2013, lo cual indica que, en este periodo de tiempo, el servicio fijo de telefonía ha tenido una mayor competencia de mercado.","Complementario a lo anterior, se observa que el Índice de Herfindahl-Hirschman (IHH) para este servicio ha disminuido de manera constante desde el 2013, lo cual indica que, en este periodo de tiempo, el servicio fijo de telefonía ha tenido una mayor competencia de mercado.",
B.11,True,31,minimal_grammar_adjustment,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_11_datos_usados.csv,39c5de1fc2dbb326168aafa036820c87bcf68149e3982862620553f287f1af0d,,"De acuerdo con la información reportada por los operadores de telecomunicaciones al IFT, el número de accesos del servicio fijo de Internet en 2022 fue de 26.5 millones, mientras que, en 2023 fue de 26.7 millones de accesos. Lo anterior representó una tasa de decrecimiento anual de 1.1%.","De acuerdo con la información reportada por los operadores de telecomunicaciones al IFT, el número de accesos del servicio fijo de Internet en 2023 fue de 26.9 millones, mientras que, en 2024 fue de 29.0 millones de accesos. Lo anterior representó una tasa de crecimiento anual de 7.7%.",La dirección del cambio pasó de decrecimiento a crecimiento; se cambió únicamente ese término.
B.12,True,32,minimal_grammar_adjustment,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_12_datos_usados.csv,e1f9fcd7c01ed6488ac931feb5bfca74f69e561f9d0bbd3309eb780ca6cb55a3,,"Por otro lado, al obtener el número de accesos del servicio fijo de acceso a Internet por cada 100 hogares a nivel nacional, se observa que en 2023 llegó a 69 accesos por cada 100 hogares, el cual representa una disminución de 1 acceso por cada 100 hogares en comparación a 2022.","Por otro lado, al obtener el número de accesos del servicio fijo de acceso a Internet por cada 100 hogares a nivel nacional, se observa que en 2024 llegó a 74 accesos por cada 100 hogares, el cual representa un aumento de 4 accesos por cada 100 hogares en comparación a 2023.",La variación pasó de disminución a aumento.
B.13,True,33,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_13_datos_usados.csv,502ba1a4ecdff3e5c9b64f230af39048311ad7e9aae597b0d6104f6b0322c371,,"En el segmento residencial del servicio fijo de acceso a Internet, a diciembre de 2023, a nivel nacional, había 60 accesos por cada 100 hogares, siendo la Ciudad de México la entidad con la mayor cantidad de accesos por cada 100 hogares con 90, seguida de Baja California con 87 y Nuevo León con 84. Por el contrario, las entidades con la menor cantidad de accesos por cada 100 hogares fueron Michoacán de Ocampo con 31, Oaxaca con 25 y Chiapas con solo 18.","En el segmento residencial del servicio fijo de acceso a Internet, a diciembre de 2024, a nivel nacional, había 64 accesos por cada 100 hogares, siendo Baja California la entidad con la mayor cantidad de accesos por cada 100 hogares con 100, seguida de Ciudad de México con 90 y Nuevo León con 89. Por el contrario, las entidades con la menor cantidad de accesos por cada 100 hogares fueron Tabasco con 32, Oaxaca con 27 y Chiapas con solo 23.",Se actualizaron las entidades en los extremos del ranking.
B.14,True,34,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_14_datos_usados.csv,78818c493eb15be853cefedd8706ad579eca05d03696be715a163d05718d10c7,,"En el segmento no residencial de este servicio, al cierre de 2023, había 47 accesos por cada 100 unidades económicas a nivel nacional, siendo Baja California la entidad con la mayor cantidad de accesos por cada 100 unidades económicas con 87, seguida de Baja California Sur con 84, y de Quintana Roo con 82. En contraste, las entidades federativas con la menor cantidad de accesos por cada 100 unidades económicas fueron Chiapas con 23, Oaxaca y Tlaxcala, ambas con 20.","En el segmento no residencial de este servicio, al cierre de 2024, había 42 accesos por cada 100 unidades económicas a nivel nacional, siendo Baja California la entidad con la mayor cantidad de accesos por cada 100 unidades económicas con 87, seguida de Baja California Sur con 83, y de Quintana Roo con 82. En contraste, las entidades federativas con la menor cantidad de accesos por cada 100 unidades económicas fueron Tlaxcala con 21, Chiapas con 20 y Oaxaca con 17.",Se actualizaron las entidades en los extremos del ranking.
B.15,True,35,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_15_datos_usados.csv,375e427aa2aa892ccd2fd3458774ceaab4d7a902fc48c9e7ec1355d097ab7a4e,,"Al analizar el número de accesos del servicio fijo de Internet por rangos de velocidad, los resultados indican que, a diciembre de 2023, 65% del total de los accesos reportaron una velocidad anunciada de bajada de entre 10 Mbps y 100 Mbps, mientras que, en 2022 el mismo rango representó el 69%. Por su parte, los accesos con velocidad mayores a 100 Mbps representaron el 25% en diciembre de 2023.","Al analizar el número de accesos del servicio fijo de Internet por rangos de velocidad, los resultados indican que, a diciembre de 2024, 53% del total de los accesos reportaron una velocidad anunciada de bajada de entre 10 Mbps y 100 Mbps, mientras que, en 2023 el mismo rango representó el 64%. Por su parte, los accesos con velocidad mayores a 100 Mbps representaron el 41% en diciembre de 2024.",
B.16,True,36,minimal_grammar_adjustment,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_16_datos_usados.csv,3c8739f78108442037ceba3087cf599461b43a8a5ee50eb7b6d0e0165005724a,,"Con respecto de las tecnologías de conexión del servicio fijo de acceso a Internet, se observa que al cierre de 2023 el 65.0% fueron provistos mediante fibra óptica, es decir, un aumento del 58.4% anual, el 23.3% de los accesos del segmento residencial fueron provistos a través de cable coaxial, lo que representó un decremento de 5.0% anual; el 8.2% fueron provistos a través de DSL, lo que equivale a una disminución de 35.7% con respecto del cierre de 2022; y el 2.2% fueron provistos por tecnología móvil.

Por otro lado, en el segmento no residencial, al cierre de 2023, el 76.6% de los accesos del servicio fijo de Internet fueron ofrecidos mediante fibra óptica, lo que implicó un incremento anual de 47.9%; el 14.1% fueron ofrecidos por medio de DSL, lo que representó un decremento anual de 31.3%; y el 8.8% fueron provistos por cable coaxial, lo que equivale a un decremento de 8.9% con respecto al cierre de 2022.","Con respecto de las tecnologías de conexión del servicio fijo de acceso a Internet, se observa que al cierre de 2024 el 72.2% fueron provistos mediante fibra óptica, es decir, un aumento del 18.5% anual, el 21.4% de los accesos del segmento residencial fueron provistos a través de cable coaxial, lo que representó un decremento de 0.5% anual; el 5.7% fueron provistos a través de DSL, lo que equivale a una disminución de 24.6% con respecto del cierre de 2023; y el 0.8% fueron provistos por tecnología móvil.

Por otro lado, en el segmento no residencial, al cierre de 2024, el 80.1% de los accesos del servicio fijo de Internet fueron ofrecidos mediante fibra óptica, lo que implicó un decremento anual de 5.6%; el 10.5% fueron ofrecidos por medio de DSL, lo que representó un decremento anual de 32.9%; y el 9.1% fueron provistos por cable coaxial, lo que equivale a un decremento de 6.5% con respecto al cierre de 2023.","El crecimiento de fibra óptica no residencial cambió de signo, por lo que incremento se actualizó a decremento."
B.17,True,37,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_17_datos_usados.csv,98289230ad0fc4cd60ee2f7fade6497172a5931afbfd4af10b14e6a91d440c5f,,"En cuanto a la participación de mercado del servicio fijo de acceso a Internet, se observa que el agente económico preponderante perdió un poco más de 31 puntos porcentuales en su participación de 2013 a 2023, registrando en este último año una participación de mercado cercana al 39.2% lo que indica que al paso de los años la competencia en este servicio va en aumento.","En cuanto a la participación de mercado del servicio fijo de acceso a Internet, se observa que el agente económico preponderante perdió un poco más de 32 puntos porcentuales en su participación de 2013 a 2024, registrando en este último año una participación de mercado cercana al 38.7% lo que indica que al paso de los años la competencia en este servicio va en aumento.",
B.18,True,38,minimal_grammar_adjustment,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_18_datos_usados.csv,b73624ea7ad8c1597d127a55c1a39eca3f573bfd7ab0ec42f5f199e0761187f1,,"Complementario a lo anterior, se observa que el índice de Herfindahl-Hirschman (IHH) para este servicio ha disminuido constantemente desde el año 2013, lo cual refleja que, en este periodo de tiempo, el servicio fijo de acceso a Internet ha tenido una mayor competencia de mercado.","Complementario a lo anterior, se observa que el índice de Herfindahl-Hirschman (IHH) para este servicio ha disminuido en términos generales desde el año 2013, lo cual refleja que, en este periodo de tiempo, el servicio fijo de acceso a Internet ha tenido una mayor competencia de mercado.",Se sustituyó constantemente por en términos generales porque la serie presenta un repunte en 2023.
B.19,True,39,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_19_datos_usados.csv,eb798e219e9f59ef4797412f0d2567c2cf5d7a24e4272de2cbd4d8b665d2e92a,,"Con base en la información reportada al IFT por los operadores de telecomunicaciones, el número de accesos del servicio de televisión restringida fue de 23.4 millones en 2023. El dato de 2023 representa una disminución de 4.8% con respecto al cierre del año 2022, cuando se registraron 24.6 millones de accesos de este servicio.","Con base en la información reportada al IFT por los operadores de telecomunicaciones, el número de accesos del servicio de televisión restringida fue de 21.8 millones en 2024. El dato de 2024 representa una disminución de 7.2% con respecto al cierre del año 2023, cuando se registraron 23.5 millones de accesos de este servicio.",
B.20,True,40,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_20_datos_usados.csv,aa4afae0a1d58446efe7b92f82f31722690c75eeb718aa4f92be9a22bdb12c7a,,"Por otro lado, al obtener el número de accesos del servicio de televisión restringida por cada 100 hogares a nivel nacional, se observa que en 2023 llegó a 61 accesos por cada 100 hogares.","Por otro lado, al obtener el número de accesos del servicio de televisión restringida por cada 100 hogares a nivel nacional, se observa que en 2024 llegó a 56 accesos por cada 100 hogares.",
B.21,True,41,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_21_datos_usados.csv,380f0250380310227e90112ee047028e0a2b983069e86c0f01f362638a0c2e20,,"En el segmento residencial del servicio de televisión restringida, al cierre de 2023, había 58 accesos por cada 100 hogares a nivel nacional, siendo Querétaro la entidad con la mayor cantidad de accesos por cada 100 hogares con 94, seguida por Sonora con 80 y Sinaloa con 76. Por el contrario, las entidades con la menor cantidad de accesos por cada 100 hogares fueron Yucatán, Oaxaca y Chiapas con 42, 38 y 35 respectivamente.","En el segmento residencial del servicio de televisión restringida, al cierre de 2024, había 48 accesos por cada 100 hogares a nivel nacional, siendo Querétaro la entidad con la mayor cantidad de accesos por cada 100 hogares con 83, seguida por Aguascalientes con 69 y Baja California con 68. Por el contrario, las entidades con la menor cantidad de accesos por cada 100 hogares fueron Ciudad de México, Tabasco y Chiapas con 32, 32 y 29 respectivamente.","El denominador estatal de hogares corresponde a ENDUTIH 2025, como en la figura actual."
B.22,True,42,records_only,not_verified,reportes/20260922T173925458200Z_corrida/datos_usados/b_22_datos_usados.csv,928c9e1772254c21c48761598e549826930169b0af9aa8d133820d7467879942,,"En cuanto al segmento no residencial de este servicio, al cierre de 2023, había 8 accesos por cada 100 unidades económicas a nivel nacional, siendo Quintana Roo la entidad con la mayor cantidad de accesos por cada 100 unidades económicas con 32, seguida de Querétaro y Sinaloa con 17. En contraste, las entidades federativas con la menor cantidad de accesos por cada 100 unidades económicas fueron Tabasco y Tlaxcala con solo 2 accesos por cada 100 unidades económicas.","En cuanto al segmento no residencial de este servicio, al cierre de 2024, había 34 accesos por cada 100 unidades económicas a nivel nacional, siendo Ciudad de México la entidad con la mayor cantidad de accesos por cada 100 unidades económicas con 273, seguida de México con 55 y Quintana Roo con 29. En contraste, las entidades federativas con la menor cantidad de accesos por cada 100 unidades económicas fueron Tabasco y Tlaxcala con solo 2 accesos por cada 100 unidades económicas.",El denominador de unidades económicas corresponde al corte DENUE utilizado por la figura actual.
